"uuid","grsf_name","grsf_semantic_id","short_name","type","status","parent_areas","sdg_flag","jurisdictional_distribution","firms_code","ram_code","fishsource_code","FAO_SDG14_4_1_questionnaire_code"
"20cb0a9d-5abf-3a97-8554-9286fb4771bf","Panulirus regius - Atlantic, East central / 34.1.32","asfis:LOY+fao:34.1.32","Royal spiny lobster - South Mauritania","assessment unit","approved","fao:34","false","Unspecified","10159",,,
"9f9b7984-95e9-3d48-945a-d020f3aad928","Sardinella aurita - Sardinella maderensis - Central Gulf of Guinea","asfis:SAA;asfis:SAE+fao:34.3.5","Sardinellas - Nigeria and Cameroon","assessment unit","archived","fao:34","false","Shared between nations","10170",,,
"81416c40-a984-36e6-8492-239d7515aeda","Penaeus kerathurus - Penaeus notialis - Sherbro","asfis:SOP;asfis:TGS+fao:34.3.3","Penaeus shrimps - Sierra Leone","assessment unit","approved","fao:34;fao:41","false","Unspecified","10265",,,
"8527b149-8215-32da-b444-9c160852ed44","Penaeus spp - Central Gulf of Guinea","asfis:PEN+fao:34.3.5","Penaeus shrimps - Cameroon","assessment unit","approved","fao:34","false","Unspecified","10273",,,
"41fd44bf-353f-3c0a-b48b-7bced67f9373","Penaeus spp - Central Gulf of Guinea","asfis:PEN+fao:34.3.5","Penaeus shrimps - Nigeria","assessment unit","approved","fao:34","false","Unspecified","10274",,,
"f0243b5c-2b33-34f4-8e1e-04afc5b4ff37","Penaeus spp - Central Gulf of Guinea","asfis:PEN+fao:34.3.5","Penaeus shrimps - Nigeria and Cameroon","assessment unit","approved","fao:34","false","Unspecified","10275",,,
"81f5bd16-9a76-32d6-974b-37c83e902c5d","Penaeus spp - Central Gulf of Guinea","asfis:PEN+fao:34.3.5","Penaeus shrimp - Equatorial Guinea","assessment unit","approved","fao:34","false","Unspecified","10280",,,
"5371ab58-bcfa-304a-9bd4-60da8cd7157e","Illex illecebrosus - Atlantic, Northwest / 21.4 - Atlantic, Northwest / 21.3","asfis:SQI+fao:21.3;fao:21.4","Squid - Scotian Shelf, Grand Bank","assessment unit","approved","fao:21;fao:27","false","Straddling between High Seas and EEZ","10323",,,
"908e83a9-955d-3082-b4d1-0dfe95931da6","Cystophora cristata - Atlantic, Northwest / 21.1","asfis:SEZ+fao:21.1","Hooded Seal - Northwest Atlantic","assessment unit","archived","fao:21;fao:27;fao:18","false","Shared between nations","10347",,,
"523bd106-6be9-30e9-b36b-4e59cc9bf826","Cystophora cristata - East Greenland (Subarea 27.14)","asfis:SEZ+fao:27.14","Hooded Seals - Greenland","assessment unit","archived","fao:21;fao:27;fao:18","false","Shared between nations","10355",,,
"7d452968-a52a-355d-a9f4-4249910d0d66","Ammodytes spp - Southern North Sea (Division 27.4.c) - Central North Sea (Division 27.4.b) - Northern North Sea (Division 27.4.a)","asfis:SAN+fao:27.4.a;fao:27.4.b;fao:27.4.c","Sandeel - North Sea","assessment unit","archived","fao:27","false","Shared between nations","10393",,,
"1ba1eda5-43d2-348a-a69a-6b2650d6fdf9","Ammodytes spp - Northern North Sea (Division 27.4.a)","asfis:SAN+fao:27.4.a","Sandeel - Shetland Area","assessment unit","archived","fao:27","false","National","10394",,,
"d9cdb37e-c8a1-300b-96a5-71e897aae7e2","Lophius spp - Bay of Biscay - South (Division 27.8.c) - Portuguese Waters - East (Division 27.9.a)","asfis:MNZ+fao:27.8.c;fao:27.9.a","Angler fish - Bay of Biscay and Iberian Basin","assessment unit","archived","fao:34;fao:27;fao:37","false","National","10452",,,
"32123030-5a13-3184-81ea-028ed0d6857f","Pleuronectes platessa - Sound (Subdivision 27.3.b.23) - Southern Central Baltic - East (Subdivision 27.3.d.26) - Southern Central Baltic - West (Subdivision 27.3.d.25) - East of Gotland or Gulf of Riga (Subdivision 27.3.d.28) - West of Gotland (Subdivision 27.3.d.27) - Gulf of Finland (Subdivision 27.3.d.32) - Baltic West of Bornholm (Subdivision 27.3.d.24) - Belt Sea (Subdivision 27.3.c.22) - Bothnian Bay (Subdivision 27.3.d.31) - Bothnian Sea (Subdivision 27.3.d.30) - Archipelago Sea (Subdivision 27.3.d.29)","asfis:PLE+fao:27.3.b.23;fao:27.3.c.22;fao:27.3.d.24;fao:27.3.d.25;fao:27.3.d.26;fao:27.3.d.27;fao:27.3.d.28;fao:27.3.d.29;fao:27.3.d.30;fao:27.3.d.31;fao:27.3.d.32","Plaice - Baltic Sea","assessment unit","archived","fao:27","false","Shared between nations","10474",,,
"8eafcc2c-7aa0-30ac-9e64-ec6d91c88130","Molva dypterygia - Atlantic, Northeast","asfis:BLI+fao:27","Blue Ling - Northeast Atlantic","assessment unit","archived","fao:31;fao:21;fao:34;fao:27;fao:37;fao:18","false","Straddling between High Seas and EEZ","10488",,,
"d3f6db49-6f17-3948-b3d5-15a2c9ee96d9","Dissostichus mawsoni - Indian Antarctic 58.4.2","asfis:TOA+fao:58.4.2","Antarctic toothfish - High Latitude, Western Indian Ocean","assessment unit","approved","fao:58;fao:48","false","High Seas Purely","10514",,,
"eacc1762-a248-3a6c-91a1-2fd721c7ee32","Dissostichus eleginoides - Indian Antarctic 58.4.3.a","asfis:TOP+fao:58.4.3.a","Patagonian toothfish - Elan Bank","assessment unit","approved","fao:58","false","High Seas Purely","10519",,,
"9f4baa01-7a7c-35d2-86c6-849e92c33f01","Merluccius merluccius - Ligurian and North Tirrenian Sea - Corsica Island","asfis:HKE+gfcm:8;gfcm:9","European hake - North Tyrrhenian and Corsica","assessment unit","archived","fao:37","false","Straddling between High Seas and EEZ","10558",,,
"651d2545-d416-3cec-b7a2-691ed421bfc5","Dissostichus eleginoides - SEAFO division C.1 - SEAFO division D.0 - SEAFO division C.0 - SEAFO division D.1","asfis:TOP+fao:47.C.0;fao:47.C.1;fao:47.D.0;fao:47.D.1","Patagonian toothfish - South East Atlantic","assessment unit","pending","fao:58;fao:48;fao:41;fao:51;fao:47","false","Straddling between High Seas and EEZ","13375",,,
"21ed8d76-85dc-3f37-8160-837278f6c4b1","Hoplostethus atlanticus - SEAFO division D.0 - SEAFO division C.1 - SEAFO division C.0 - SEAFO division B.1 - SEAFO division D.1 - SEAFO division A.1 - SEAFO division B.0 - SEAFO division A.0","asfis:ORY+fao:47.A.0;fao:47.A.1;fao:47.B.0;fao:47.B.1;fao:47.C.0;fao:47.C.1;fao:47.D.0;fao:47.D.1","Orange roughy - South East Atlantic","assessment unit","approved","fao:34;fao:58;fao:48;fao:41;fao:51;fao:47","false","Straddling between High Seas and EEZ","13377",,,
"37e79895-30f1-39d6-9c95-5252bb01c11a","Hilsa spp - Pellona spp - Thryssa spp - Indian Ocean, West / 51.8","unk:hilsa_spp;unk:pellona_spp;unk:thryssa_spp+fao:51.8","Small pelagics - Mozambique","assessment unit","pending","fao:58;fao:51;fao:47","false","National","13397",,,
"10e1da8c-85cb-3125-b914-fe59b008de17","Sardinella aurita - Sardinella maderensis - Central Gulf of Guinea","asfis:SAA;asfis:SAE+fao:34.3.5","Madeiran sardinella and Round sardinella - Cameroon and Nigeria","assessment unit","archived","fao:34","false","Shared between nations","13420",,,
"b57d09ba-d540-35f0-8c73-4bcc74e9ba15","Pagellus acarne - Northern oceanic subarea - Northern coastal subarea - Atlantic, East central / 34.3.12 - Atlantic, East central / 34.3.11","asfis:SBA+fao:34.1;fao:34.2;fao:34.3.11;fao:34.3.12","Axillary seabream - Northern Areas of the Eastern Central Atlantic","assessment unit","archived","fao:31;fao:34;fao:27;fao:37","false","Shared between nations","13456",,,
"ba58b4b9-fd14-3761-8316-f0ac103e56fc","Argentina silus - Iceland Grounds (Division 27.5.a)","asfis:ARU+fao:27.5.a","Greater argentine - Iceland Grounds","assessment unit","archived","fao:27","false","National","13477",,,
"8b6898ed-1218-32a9-bc20-8e17928a8eac","Decapoda - Indian Ocean, West / 51.6","unk:decapoda+fao:51.6","Crabs - Madagascar","assessment unit","pending","fao:51","false","National","13528",,,
"c1671e46-5573-3d50-abf3-2706869d7d75","Seriola rivoliana - Indian Ocean, West / 51.6","asfis:YTL+fao:51.6","Longfin yellowtail - Comoros","assessment unit","approved","fao:51","false","National","13538",,,
"130e006e-4474-30e9-97cc-6c5c72dd4923","Argyrosomus japonicus - Argyrosomus inodorus - Indian Ocean, West / 51.8","asfis:RYJ;unk:argyrosomus_inodorus+fao:51.8","Kobs - South Africa Eastern","assessment unit","pending","fao:58;fao:51;fao:47","false","National","13565",,,
"2a88cc94-788c-3212-a25b-dc347c5f30bb","Polysteganus coeruleopunctatus - Indian Ocean, West / 51.8","asfis:SBU+fao:51.8","Blueskin - South Africa Eastern (Southern Mozambique to Kwazulu Natal)","assessment unit","approved","fao:58;fao:51;fao:47","false","Shared between nations","13575",,,
"8ea22d89-57d1-3d3c-b70e-f57e1ae7ad9f","Palinuridae - Western Arabian Sea subarea - Indian Ocean, West / 51.5","asfis:VLO+fao:51.3;fao:51.5","Spiny and rock lobsters - Somalia","assessment unit","approved","fao:51","false","National","13581",,,
"71f453a6-331f-3e11-b370-ddf5660be74a","Aristaeomorpha foliacea - Malta Island - South of Sicily","asfis:ARS+gfcm:15;gfcm:16","Giant red shrimp - Malta Island and South of Sicily","assessment unit","approved","fao:37","false","Straddling between High Seas and EEZ","13633",,,
"a2bfd069-1a2d-3f4b-b944-70479c76f483","Pleuronectiformes - Indian Ocean, West / 51.5","asfis:FLX+fao:51.5","Flat fish - Tanzania","assessment unit","approved","fao:51","false","Shared between nations","13643",,,
"5fa157f7-0fd5-3e6e-b33c-14ce04e8e540","Mullus barbatus - Northern Adriatic","asfis:MUT+gfcm:17","Red mullet - Northern Adriatic Sea","assessment unit","approved","fao:37","false","Shared between nations","13761",,,
"c465d1fd-4065-3faa-bbd6-c2e2b209fed3","Mullus barbatus - Southern Adriatic","asfis:MUT+gfcm:18","Red mullet - Southern Adriatic Sea","assessment unit","approved","fao:37","false","Shared between nations","13766",,,
"6ef30068-cb05-3a50-9db0-b970501d6d6a","Ethmalosa fimbriata - Central Gulf of Guinea","asfis:BOA+fao:34.3.5","Bonga shad - Nigeria and Cameroon","assessment unit","approved","fao:34","false","Shared between nations","13781",,,
"cc237b55-24e1-32bb-9f00-9713b63f7892","Pseudotolithus elongatus - Pseudotolithus spp - Pseudotolithus senegalensis - Pseudotolithus typus - Pseudotolithus senegallus - Central Gulf of Guinea","asfis:CKL;asfis:CKW;asfis:PSE;asfis:PSS;asfis:PTY+fao:34.3.5","West African croakers - Nigeria and Cameroon","assessment unit","approved","fao:34","false","Shared between nations","13803",,,
"d0978e52-077c-35f2-882f-b2af0f9dbb04","Pagellus spp - Southern Gulf of Guinea - Central Gulf of Guinea","asfis:PAX+fao:34.3.5;fao:34.3.6","Pandoras - Equatorial Guinea and São Tomé e Príncipe","assessment unit","approved","fao:34;fao:47","false","Shared between nations","13807",,,
